;;;Enhed;År;;;;;;;;;;Vinter;;;;;;;;;;Forår;;;;;;;;;;Sommer;;;;;;;;;;Efterår;;;;;;;;;
Danmark;;;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;
;;;;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil
;Højt CO2-niveau (RCP8.5);Absolutte;døgn;236,76;235,32;230,84;240,25;237,43;229,99;243,54;236,36;226,10;247,29;54,80;54,26;51,97;56,75;54,34;51,05;56,46;52,36;48,69;55,85;66,41;65,68;63,71;67,60;65,37;62,84;66,92;64,17;61,76;67,31;60,93;60,62;58,54;63,20;63,00;58,62;65,43;65,10;58,17;67,24;54,55;54,73;52,80;56,80;55,15;52,33;57,86;55,80;51,16;59,91
;;Ændring;%;;-0,65;-2,57;1,99;0,21;-3,11;3,52;-0,56;-4,46;5,26;;-1,23;-4,72;4,17;-0,94;-6,85;2,65;-4,47;-11,39;2,24;;-0,44;-4,95;3,15;-1,37;-5,94;1,96;-2,66;-7,33;1,39;;0,05;-4,76;4,15;3,74;-4,54;7,54;6,72;-4,78;11,40;;0,65;-4,66;5,01;1,44;-4,69;6,82;2,82;-7,60;9,91
Længste tørre periode;Mellem CO2-niveau (RCP4.5);Absolutte;døgn;21,61;21,41;19,57;24,34;21,88;20,06;24,82;21,70;19,49;24,30;12,71;12,56;9,91;14,11;12,54;10,42;14,63;12,43;10,32;14,53;17,43;16,98;15,53;19,91;17,62;15,59;19,96;17,08;15,13;19,50;14,92;14,88;13,01;17,71;15,09;13,06;17,76;15,62;13,24;17,94;13,14;12,69;11,00;14,98;13,23;12,09;16,07;13,50;11,48;15,58
;;Ændring;%;;-0,61;-9,78;6,36;0,30;-5,92;10,22;0,33;-9,02;8,38;;-1,51;-20,30;13,31;-2,54;-16,63;16,98;-2,40;-16,61;17,00;;-0,53;-18,01;12,78;2,33;-14,63;16,16;-1,87;-17,19;13,60;;-0,60;-13,93;12,67;1,21;-13,00;13,60;3,65;-11,46;18,31;;-2,76;-18,22;15,62;3,74;-12,69;21,15;1,63;-13,15;20,98
;Højt CO2-niveau (RCP8.5);Absolutte;døgn;21,61;21,31;19,51;23,26;21,89;19,65;24,95;21,86;19,09;24,87;12,71;12,20;10,85;13,48;12,47;10,48;14,14;11,59;9,92;13,46;17,43;17,26;15,45;18,94;17,25;15,15;19,43;16,35;14,40;19,60;14,92;14,81;13,11;16,92;15,52;13,74;17,79;16,55;13,65;18,77;13,14;13,09;11,91;14,75;13,63;11,40;15,69;13,84;10,98;17,60
;;Ændring;%;;-1,57;-11,28;7,63;1,48;-9,15;13,24;0,50;-10,12;13,81;;-3,53;-13,94;7,11;-1,20;-14,76;10,96;-8,04;-20,14;7,17;;-0,76;-14,69;12,50;-1,12;-13,67;12,85;-4,66;-18,86;11,53;;-1,08;-12,64;13,48;5,02;-10,24;20,11;10,66;-11,59;31,31;;0,79;-11,23;12,15;5,68;-15,35;17,36;7,87;-14,94;24,97
2-årshændelse timenedbør ;Mellem CO2-niveau (RCP4.5);Absolutte;mm/time;15,91;17,43;15,29;20,22;18,01;16,23;21,16;18,84;16,66;22,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;8,54;-3,72;28,41;12,36;1,38;33,51;18,30;3,89;39,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;mm/time;15,91;17,50;15,64;19,90;18,76;16,58;21,26;20,94;17,69;24,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;9,69;-1,17;23,92;17,67;4,56;33,25;30,93;10,68;56,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
